cluster,token_stem,count_per_doc,count_of_docs,tfidf
1,like,4,4,0.009837966550117268
1,limit,4,4,0.009837966550117268
1,line,6,2,0.06059622281667771
1,link,2,4,0.004918983275058634
1,list,4,2,0.04039748187778514
1,littl,1,2,0.010099370469446286
1,live,3,5,0.0
1,llc,1,3,0.00563032784272151
1,load,1,2,0.010099370469446286
1,local,7,4,0.01721644146270522
1,locat,5,4,0.012297458187646583
1,log,1,3,0.00563032784272151
1,long,9,3,0.05067295058449359
1,look,3,4,0.007378474912587951
1,low,1,4,0.002459491637529317
1,lower,3,1,0.05321774790408976
1,m,1,2,0.010099370469446286
1,machin,2,1,0.035478498602726505
1,made,4,4,0.009837966550117268
1,mai,8,4,0.019675933100234536
1,mail,2,4,0.004918983275058634
1,maintain,12,4,0.029513899650351803
1,mainten,1,2,0.010099370469446286
1,major,8,2,0.08079496375557028
1,make,11,4,0.027054408012822485
1,manag,14,5,0.0
1,mandat,2,3,0.01126065568544302
1,mandatori,1,2,0.010099370469446286
1,mani,6,3,0.03378196705632906
1,manner,5,3,0.028151639213607547
1,manufactur,15,4,0.036892374562939756
1,map,1,3,0.00563032784272151
1,mark,2,1,0.035478498602726505
1,market,6,2,0.06059622281667771
1,marketplac,2,2,0.02019874093889257
1,materi,12,4,0.029513899650351803
1,matter,2,4,0.004918983275058634
1,meal,1,2,0.010099370469446286
1,mean,4,4,0.009837966550117268
1,measur,6,3,0.03378196705632906
1,mechan,3,3,0.01689098352816453
1,media,2,2,0.02019874093889257
1,medic,1,2,0.010099370469446286
1,meet,10,4,0.024594916375293166
1,member,5,4,0.012297458187646583
1,membership,2,3,0.01126065568544302
1,messag,4,1,0.07095699720545301
1,met,1,2,0.010099370469446286
1,metal,1,2,0.010099370469446286
1,method,1,3,0.00563032784272151
1,methodologi,3,1,0.05321774790408976
1,mexico,3,1,0.05321774790408976
1,might,1,3,0.00563032784272151
1,mill,1,2,0.010099370469446286
1,million,3,3,0.01689098352816453
1,mind,2,3,0.01126065568544302
1,miner,1,2,0.010099370469446286
1,minim,3,3,0.01689098352816453
